25.9,15.9,28.5,37.0,28.3,-26242199,-48641058

26.2,15.8,28.3,36.4,30.7,-26242213,-48641055

26.3,16.0,28.5,37.2,29.9,-26242226,-48641051

25.9,15.6,28.0,38.5,29.2,-26242241,-48641046

26.3,15.9,28.4,36.1,33.4,-26242264,-48641037

26.2,15.9,28.5,35.9,31.1,-26242279,-48641025

26.0,15.6,28.2,36.4,31.0,-26242294,-48641019

26.3,16.0,28.7,35.5,32.5,-26242308,-48641012

26.3,16.0,28.6,36.2,32.5,-26242323,-48641007

26.8,15.6,28.4,37.0,31.0,-26242350,-48640996

26.2,15.9,28.5,37.5,31.0,-26242350,-48640996

26.3,16.0,28.6,36.3,31.0,-26242350,-48640996

26.1,15.7,28.4,35.4,31.0,-26242350,-48640996

26.5,16.2,28.9,36.6,31.0,-26242350,-48640996

25.7,15.8,28.5,37.3,31.0,-26242350,-48640996

26.2,15.8,28.5,34.8,36.8,-26242415,-48640999

26.4,16.2,28.8,33.0,31.1,-26242425,-48640984

25.9,15.6,28.3,37.0,31.9,-26242436,-48640969

26.2,15.9,28.5,34.8,31.7,-26242460,-48640968

26.3,16.1,28.7,33.1,31.7,-26242476,-48640964

25.9,15.7,28.2,36.7,33.0,-26242506,-48640953

26.0,15.8,28.5,36.7,32.7,-26242521,-48640943

26.3,16.1,28.7,36.5,33.4,-26242537,-48640937

25.9,15.4,28.4,32.3,32.5,-26242552,-48640930

26.3,16.0,28.6,33.5,33.0,-26242567,-48640925

26.1,16.0,28.6,34.2,34.1,-26242583,-48640920

26.0,15.7,28.3,33.0,34.1,-26242599,-48640915

26.4,16.0,28.5,34.3,34.6,-26242615,-48640912

25.9,15.9,28.4,33.0,33.3,-26242630,-48640909

26.0,15.6,28.3,32.8,32.2,-26242645,-48640907

26.3,16.0,28.6,32.9,32.2,-26242661,-48640906

26.0,15.8,28.4,34.1,34.1,-26242692,-48640902

26.0,15.7,28.3,32.3,34.7,-26242708,-48640900

26.4,16.0,28.5,31.2,34.2,-26242724,-48640899

26.3,16.1,28.5,32.6,33.9,-26242739,-48640898

26.2,15.8,28.3,34.3,33.5,-26242754,-48640899

26.3,16.1,28.6,33.6,34.8,-26242770,-48640900

25.9,15.6,28.1,32.7,34.6,-26242786,-48640902

26.3,16.0,28.4,32.6,34.7,-26242802,-48640903

26.3,16.1,28.6,32.8,34.1,-26242817,-48640904

25.9,15.5,28.2,34.7,34.3,-26242832,-48640906

26.0,15.6,28.3,31.6,34.3,-26242848,-48640907

26.2,16.0,28.6,31.8,34.1,-26242880,-48640911

25.9,15.8,28.8,31.5,34.1,-26242896,-48640914

26.4,16.0,28.9,34.4,34.0,-26242911,-48640917

24.7,13.0,27.1,31.3,33.3,-26242926,-48640921

24.5,12.6,29.0,31.2,28.1,-26242940,-48640923

24.9,13.1,27.3,31.8,25.8,-26242952,-48640924

24.6,12.9,27.3,31.7,24.6,-26242964,-48640924

24.8,12.9,27.2,31.6,22.1,-26242975,-48640923

25.1,13.1,27.5,32.1,20.2,-26242984,-48640921

26.4,12.8,27.3,31.4,19.2,-26242993,-48640919

25.0,12.9,27.4,30.6,19.2,-26243001,-48640917

23.8,13.1,27.5,33.6,17.5,-26243018,-48640914

24.8,13.0,27.5,32.0,17.0,-26243026,-48640913

25.0,13.0,27.4,32.0,15.6,-26243034,-48640912

25.2,13.2,27.6,32.4,14.4,-26243041,-48640913

25.1,13.1,27.6,33.2,13.7,-26243048,-48640914

25.0,12.9,27.4,32.3,13.4,-26243054,-48640915

24.9,12.7,27.5,29.3,13.0,-26243060,-48640916

24.8,12.5,27.2,31.1,12.4,-26243066,-48640917

25.1,12.8,27.7,28.4,10.3,-26243071,-48640917

24.9,12.7,27.6,30.0,09.3,-26243076,-48640916

25.0,12.4,27.4,30.1,07.9,-26243080,-48640916

25.1,12.6,27.5,30.4,07.9,-26243083,-48640915

26.2,14.7,34.6,29.5,05.2,-26243089,-48640913

26.1,14.7,36.9,30.1,05.2,-26243089,-48640913

26.0,14.7,35.1,32.5,02.7,-26243092,-48640911

25.9,14.7,35.0,30.6,14.0,-26243098,-48640906

27.4,18.7,38.8,31.4,03.1,-26243099,-48640903

26.9,17.5,37.5,29.8,04.6,-26243099,-48640904

26.9,17.4,37.7,29.6,13.8,-26243095,-48640894

26.9,17.6,37.6,31.9,18.6,-26243101,-48640895

26.9,17.6,37.7,31.8,20.3,-26243108,-48640890

26.8,17.5,37.7,27.8,23.1,-26243116,-48640884

26.9,17.6,37.8,28.4,23.1,-26243128,-48640881

26.9,17.6,37.9,29.8,26.8,-26243152,-48640881

26.9,17.7,36.5,29.2,28.1,-26243166,-48640881

26.8,17.6,38.0,29.0,30.9,-26243181,-48640882

26.9,17.7,37.9,31.2,30.9,-26243181,-48640882

26.8,17.6,37.7,31.0,30.9,-26243181,-48640882

26.9,17.7,37.8,29.9,30.9,-26243181,-48640882

26.9,17.7,37.7,28.7,42.6,-26243251,-48640894

26.9,17.6,37.8,28.4,33.7,-26243269,-48640901

26.9,17.7,37.9,28.8,31.6,-26243266,-48640906

26.8,17.6,38.0,30.5,32.7,-26243281,-48640902

26.8,17.5,37.8,30.4,32.7,-26243292,-48640898

26.8,17.5,37.8,30.4,33.9,-26243321,-48640898

25.3,17.7,37.9,27.3,32.9,-26243344,-48640904

26.9,17.7,38.0,26.2,31.1,-26243360,-48640911

26.8,17.6,37.7,27.7,31.2,-26243374,-48640917

26.8,17.7,37.8,29.0,31.7,-26243387,-48640925

26.8,17.6,37.8,29.9,32.4,-26243400,-48640933

26.8,17.7,37.9,28.0,33.2,-26243414,-48640941

26.9,17.8,40.1,25.4,33.7,-26243428,-48640949

26.9,17.8,37.8,27.2,33.8,-26243442,-48640959

26.9,17.9,37.7,27.9,33.5,-26243456,-48640969

27.0,17.8,38.1,26.1,33.5,-26243468,-48640979

27.0,17.9,37.8,28.3,33.7,-26243493,-48641000

27.0,17.8,38.0,26.1,33.9,-26243504,-48641011

27.0,17.8,38.0,29.1,34.6,-26243517,-48641023

27.0,17.7,38.0,29.0,34.5,-26243530,-48641034

26.9,17.7,37.6,27.9,34.5,-26243542,-48641045

26.9,17.7,37.9,27.0,33.7,-26243553,-48641057

